Jenis Kelamin,Umur,Wilayah,Tanggapan,Tanggapan_Final,text_clean,topic_number,topic_id,topic_label,topic_probability
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",banyak debu,banyak debu,debu,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",banyak lumpur,banyak lumpur,lumpur,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",mendengar orangorang meninggal,dengar orangorang tinggal,dengar orangorang tinggal,2,1,Ketakutan & Dampak Banjir,0.5526
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",dibilangin orang tua buat ambil bantuan,dibilangin orang tua buat ambil bantu,dibilangin orang tua ambil bantu,3,2,Kerusakan Rumah & Bantuan,0.5182
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",di pengungsian makan mie dan minum aqua,ungsi makan mie minum aqua,ungsi makan mie minum aqua,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8793
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",disuruh mamak angkat baju waktu banjir,suruh mamak angkat baju waktu banjir,suruh mamak angkat baju banjir,2,1,Ketakutan & Dampak Banjir,0.4318
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perkakas rumah hanyut karena banjir,perkakas rumah hanyut banjir,perkakas rumah hanyut banjir,2,1,Ketakutan & Dampak Banjir,0.8542
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",rumah bolongbolong karena banjir,rumah bolongbolong banjir,rumah bolongbolong banjir,2,1,Ketakutan & Dampak Banjir,0.75
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",kereta saya rusak,kereta rusak,kereta rusak,5,4,Dampak Pendidikan & Tempat Tidur,0.6111
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sering sakit perut,sering sakit perut,sakit perut,8,7,Keluhan Fisik & Kesehatan,0.8158
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",membersihkan sampah,bersih sampah,bersih sampah,4,3,Kebersihan & Aktivitas Pemulihan,0.75
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lelah karena bersihin sekolah,lelah bersihin sekolah,lelah bersihin sekolah,4,3,Kebersihan & Aktivitas Pemulihan,0.5233
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",disuruh mencuci piring,suruh cuci piring,suruh cuci piring,4,3,Kebersihan & Aktivitas Pemulihan,0.8542
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",disuruh menyapu sekolah,suruh sapu sekolah,suruh sapu sekolah,4,3,Kebersihan & Aktivitas Pemulihan,0.75
Perempuan,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",setelah banjir belanja ke warung,banjir belanja warung,banjir belanja warung,7,6,Kebutuhan Makan & Aktivitas Fisik,0.75
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sakit perut karna makan mie terlalu banyak sampai muntah,sakit perut karna makan mie terlalu banyak muntah,sakit perut makan mie terlalu muntah,8,7,Keluhan Fisik & Kesehatan,0.6221
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",makan mie mentah,makan mie mentah,makan mie mentah,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8158
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",disuruh angkatangkat barang kursi,suruh angkatangkat barang kursi,suruh angkatangkat barang kursi,4,3,Kebersihan & Aktivitas Pemulihan,0.75
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",membersihkan kelas,bersih kelas,bersih kelas,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",dipaksa membersihkan dan menyapu rumah,paksa bersih sapu rumah,paksa bersih sapu rumah,4,3,Kebersihan & Aktivitas Pemulihan,0.8158
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",disuruh angkat air paret untuk cuci dan mandi,suruh angkat air paret cuci mandi,suruh angkat air paret cuci mandi,7,6,Kebutuhan Makan & Aktivitas Fisik,0.4891
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",mengungsi ke pusung kapal,ungsi pusung kapal,ungsi pusung kapal,2,1,Ketakutan & Dampak Banjir,0.6111
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",mengungsi ke rumah nenek,ungsi rumah nenek,ungsi rumah nenek,2,1,Ketakutan & Dampak Banjir,0.8542
Laki laki,8 sampai 11 tahun,"Desa Kuala Penaga, Aceh Tamiang",jalan dari rumah ke sekolah,jalan rumah sekolah,rumah sekolah,4,3,Kebersihan & Aktivitas Pemulihan,0.75
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perut sakit karna makan indomie waktu banjir,perut sakit karna makan indomie waktu banjir,perut sakit makan indomie banjir,7,6,Kebutuhan Makan & Aktivitas Fisik,0.5812
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perut sakit karena minum air hujan,perut sakit minum air hujan,perut sakit minum air hujan,2,1,Ketakutan & Dampak Banjir,0.5795
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perut sakit karena menstruasi,perut sakit menstruasi,perut sakit menstruasi,8,7,Keluhan Fisik & Kesehatan,0.8158
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",waktu banjir mengangkat barangbarang,waktu banjir angkat barangbarang,banjir angkat barangbarang,2,1,Ketakutan & Dampak Banjir,0.5233
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",mengangkat air,angkat air,angkat air,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8158
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",membersihkan rumah dan bersihbersih sekolah,bersih rumah bersihbersih sekolah,bersih rumah bersihbersih sekolah,4,3,Kebersihan & Aktivitas Pemulihan,0.8793
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",disuruh mengangkat baju ketika banjir,suruh angkat baju banjir,suruh angkat baju banjir,7,6,Kebutuhan Makan & Aktivitas Fisik,0.3386
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",setelah banjir pergi ke sekolah dan mengaji,banjir pergi sekolah aji,banjir pergi sekolah aji,7,6,Kebutuhan Makan & Aktivitas Fisik,0.5526
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",pergi main bola sama temanteman,pergi main bola sama temanteman,pergi main bola temanteman,7,6,Kebutuhan Makan & Aktivitas Fisik,0.7069
Perempuan,12 sampai 14 tahun,"Desa Kuala Penaga, Aceh Tamiang",rok robek karena ditarik oleh teman,rok robek tarik teman,rok robek tarik teman,1,0,Kehilangan & Trauma Keluarga,0.75
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",takut abang di makan buaya,takut abang makan buaya,takut abang makan buaya,2,1,Ketakutan & Dampak Banjir,0.6458
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",takut kelaparan,takut lapar,takut lapar,1,0,Kehilangan & Trauma Keluarga,0.4513
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",kucing di rumah,kucing rumah,kucing rumah,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",baju sekolah hari rabu,baju sekolah hari rabu,baju sekolah rabu,4,3,Kebersihan & Aktivitas Pemulihan,0.75
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",keselamatan keluarga karena mengungsi di atap takut jatuh,selamat keluarga ungsi atap takut jatuh,selamat keluarga ungsi atap takut jatuh,2,1,Ketakutan & Dampak Banjir,0.5404
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",kepikiran kakak dan keluarga,pikir kakak keluarga,pikir kakak keluarga,1,0,Kehilangan & Trauma Keluarga,0.5521
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",kepikiran kambing sapi lembu,pikir kambing sapi lembu,pikir kambing sapi lembu,6,5,Bencana & Kehilangan Tempat Tinggal,0.8158
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",ayah belum pulang waktu itu,ayah pulang waktu,ayah pulang,4,3,Kebersihan & Aktivitas Pemulihan,0.3929
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",sifat orang tua lebih pusing sekarang lebih sedih,sifat orang tua lebih pusing sekarang lebih sedih,sifat orang tua pusing sekarang sedih,2,1,Ketakutan & Dampak Banjir,0.897
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",lingkungan rusak,lingkung rusak,lingkung rusak,2,1,Ketakutan & Dampak Banjir,0.75
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",rumah rusak,rumah rusak,rumah rusak,2,1,Ketakutan & Dampak Banjir,0.8158
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",banyak kegiatan beresin rumah,banyak giat resin rumah,giat resin rumah,4,3,Kebersihan & Aktivitas Pemulihan,0.75
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",papan rumah jebol pintu rumah dan kamar jebol,papan rumah jebol pintu rumah kamar jebol,papan rumah jebol pintu rumah kamar jebol,4,3,Kebersihan & Aktivitas Pemulihan,0.8158
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",mata buram sejak banjir,mata buram sejak banjir,mata buram sejak banjir,2,1,Ketakutan & Dampak Banjir,0.6111
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",mendengar teman sedih kehilangan keluarga,dengar teman sedih hilang keluarga,dengar teman sedih hilang keluarga,1,0,Kehilangan & Trauma Keluarga,0.7946
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",rumah keluarga yang hanyut,rumah keluarga hanyut,rumah keluarga hanyut,2,1,Ketakutan & Dampak Banjir,0.5616
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",sering mebicarakan apa saja yang hilang dengan sesama teman,sering mebicarakan apa yang hilang sama teman,mebicarakan apa hilang teman,1,0,Kehilangan & Trauma Keluarga,0.8158
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",kondisi aceh tamiang,kondisi aceh tamiang,kondisi aceh tamiang,7,6,Kebutuhan Makan & Aktivitas Fisik,0.6111
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",harga gas galon bensin naik,harga gas galon bensin naik,harga gas galon bensin naik,7,6,Kebutuhan Makan & Aktivitas Fisik,0.6458
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",makan mie seminggu,makan mie minggu,makan mie,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8158
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",roti telur nasi mie takut usus buntu,roti telur nasi mie takut usus buntu,roti telur nasi mie takut usus buntu,7,6,Kebutuhan Makan & Aktivitas Fisik,0.7069
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",minum air hujan air banjir bantuan air gelas,minum air hujan air banjir bantu air gelas,minum air hujan air banjir bantu air gelas,2,1,Ketakutan & Dampak Banjir,0.7124
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",menceritakan tinggi banjir dan kerusakan barang,cerita tinggi banjir rusa barang,cerita tinggi banjir rusa barang,2,1,Ketakutan & Dampak Banjir,0.5146
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",menceritakan melihat buaya saat banjir,cerita lihat buaya banjir,cerita lihat buaya banjir,2,1,Ketakutan & Dampak Banjir,0.8542
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",pegal,pegal,pegal,8,7,Keluhan Fisik & Kesehatan,0.6111
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",gatalgatal karna ga mandi dan mandi air lumpur,gatalgatal karna ga mandi mandi air lumpur,gatalgatal mandi mandi air lumpur,4,3,Kebersihan & Aktivitas Pemulihan,0.8971
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",mandi air banjir,mandi air banjir,mandi air banjir,2,1,Ketakutan & Dampak Banjir,0.5972
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",nimba air,nimba air,nimba air,2,1,Ketakutan & Dampak Banjir,0.6111
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",bersihin rumah,bersihin rumah,bersihin rumah,2,1,Ketakutan & Dampak Banjir,0.8158
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",diikat di pohon saat banjir,ikat pohon banjir,ikat pohon banjir,3,2,Kerusakan Rumah & Bantuan,0.3929
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",tidurnya sempit karna mengungsi bersama,tidur sempit karna ungsi sama,tidur sempit ungsi,5,4,Dampak Pendidikan & Tempat Tidur,0.3929
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",susah tidur jadi ngantuk,susah tidur jadi ngantuk,susah tidur ngantuk,5,4,Dampak Pendidikan & Tempat Tidur,0.75
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",sedih ada ular di dapur,sedih ular dapur,sedih ular dapur,6,5,Bencana & Kehilangan Tempat Tinggal,0.5526
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",sedih karena saudara meninggal,sedih saudara tinggal,sedih saudara tinggal,6,5,Bencana & Kehilangan Tempat Tinggal,0.2895
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",panik karena takut mati kedinginan dan khawtir orang tua demam dan kelaparan,panik takut mati dingin khawtir orang tua demam lapar,panik takut mati dingin khawtir orang tua demam lapar,2,1,Ketakutan & Dampak Banjir,0.5111
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",takut kalajengking,takut kalajengking,takut kalajengking,2,1,Ketakutan & Dampak Banjir,0.6111
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",khawatir karena takut tidak bisa sekolah,khawatir takut bisa sekolah,khawatir takut sekolah,5,4,Dampak Pendidikan & Tempat Tidur,0.5197
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",sedih buku dan al quran rusak,sedih buku al quran rusak,sedih buku quran rusak,5,4,Dampak Pendidikan & Tempat Tidur,0.8158
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",khawatir dengan ibu yang lagi hamil,khawatir ibu lagi hamil,khawatir ibu hamil,6,5,Bencana & Kehilangan Tempat Tinggal,0.3929
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",sedih dan lelah karena bersihin rumah terus,sedih lelah bersihin rumah terus,sedih lelah bersihin rumah,2,1,Ketakutan & Dampak Banjir,0.8793
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",pinggang sakit karena tidur menekuk,pinggang sakit tidur tekuk,pinggang sakit tidur tekuk,8,7,Keluhan Fisik & Kesehatan,0.4368
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",perut sakit karena susah buang air kecil dan besar,perut sakit susah buang air kecil besar,perut sakit susah buang air kecil besar,6,5,Bencana & Kehilangan Tempat Tinggal,0.4065
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",pinggang pegal,pinggang pegal,pinggang pegal,8,7,Keluhan Fisik & Kesehatan,0.5526
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",perut sakit,perut sakit,perut sakit,8,7,Keluhan Fisik & Kesehatan,0.8158
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",sakit pinggang karena bersihin rumah dan nyuci baju,sakit pinggang bersihin rumah nyuci baju,sakit pinggang bersihin rumah nyuci baju,4,3,Kebersihan & Aktivitas Pemulihan,0.3304
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",lemes karena capek,lemes capek,lemes capek,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",sakit perut karena nggak makan hari,sakit perut nggak makan hari,sakit perut makan,8,7,Keluhan Fisik & Kesehatan,0.7066
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",ngambil bantuan di sekolah,ngambil bantu sekolah,ngambil bantu sekolah,3,2,Kerusakan Rumah & Bantuan,0.3929
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",beresin rumah karena kemauan,resin rumah mau,resin rumah,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",beli barangbarang baru sama teman,beli barangbarang baru sama teman,beli barangbarang teman,1,0,Kehilangan & Trauma Keluarga,0.5064
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",gotong royong membersihkan sekolah,gotong royong bersih sekolah,gotong royong bersih sekolah,4,3,Kebersihan & Aktivitas Pemulihan,0.8158
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",jemur pakaian dan mandi di luar,jemur pakai mandi luar,jemur pakai mandi luar,4,3,Kebersihan & Aktivitas Pemulihan,0.8158
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",disuruh mengambil bantuan yang berat sama orang tua,suruh ambil bantu berat sama orang tua,suruh ambil bantu berat orang tua,3,2,Kerusakan Rumah & Bantuan,0.5189
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",mencuci barangbarang dan baju,cuci barangbarang baju,cuci barangbarang baju,4,3,Kebersihan & Aktivitas Pemulihan,0.5121
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",mencari kedai yang jualan lampu,cari kedai jual lampu,cari kedai jual lampu,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8542
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",mencuci barang di halaman rumah,cuci barang halaman rumah,cuci barang halaman rumah,4,3,Kebersihan & Aktivitas Pemulihan,0.8542
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",nyari sinyal untuk ngabarin keluarga di daerah lain,nyari sinyal ngabarin keluarga daerah,nyari sinyal ngabarin keluarga daerah,1,0,Kehilangan & Trauma Keluarga,0.75
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",jalan kaki ngungsi,jalan kaki ngungsi,kaki ngungsi,7,6,Kebutuhan Makan & Aktivitas Fisik,0.6111
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",mencari makan,cari makan,cari makan,7,6,Kebutuhan Makan & Aktivitas Fisik,0.75
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",mencari lilin,cari lilin,cari lilin,7,6,Kebutuhan Makan & Aktivitas Fisik,0.6111
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",sejak ada banjir mengaji di mushola karena ada bantuan guru ngaji kkn,sejak banjir aji mushola ada bantu guru ngaji kkn,sejak banjir aji mushola bantu guru ngaji kkn,2,1,Ketakutan & Dampak Banjir,0.5526
Perempuan,tidak mengisi,"Desa Sekoci, Langkat",sering ke kedai beli cairan pembersih baju,sering kedai beli cair bersih baju,kedai beli cair bersih baju,4,3,Kebersihan & Aktivitas Pemulihan,0.8542
Laki laki,tidak mengisi,"Desa Sekoci, Langkat",trauma takut air naik lagi,trauma takut air naik,trauma takut air naik,2,1,Ketakutan & Dampak Banjir,0.8971
Laki laki,tidak mengisi,"Desa Sekoci, Langkat",panik kalau hujan,panik kalau hujan,panik hujan,3,2,Kerusakan Rumah & Bantuan,0.75
Laki laki,tidak mengisi,"Desa Sekoci, Langkat",peliharaan rusak dan mati,pelihara rusak mati,pelihara rusak mati,2,1,Ketakutan & Dampak Banjir,0.75
Laki laki,tidak mengisi,"Desa Sekoci, Langkat",takut rumah hancur,takut rumah hancur,takut rumah hancur,3,2,Kerusakan Rumah & Bantuan,0.5953
Laki laki,tidak mengisi,"Desa Sekoci, Langkat",sekolah rusak asbes sekolah jebol,sekolah rusak asbes sekolah jebol,sekolah rusak asbes sekolah jebol,5,4,Dampak Pendidikan & Tempat Tidur,0.8158
Laki laki,tidak mengisi,"Desa Sekoci, Langkat",melihat rumah jadi rusak dan berserakan,lihat rumah jadi rusak sera,lihat rumah rusak sera,2,1,Ketakutan & Dampak Banjir,0.8971
Laki laki,tidak mengisi,"Desa Sekoci, Langkat",kegiatan mamak berubah dulu ngarit rumput sekarang gak ngarit lagi karena kambing mati,giat mamak ubah dulu ngarit rumput sekarang gak ngarit karena kambing mati,giat mamak ubah dulu ngarit rumput sekarang ngarit kambing mati,3,2,Kerusakan Rumah & Bantuan,0.8971
Laki laki,tidak mengisi,"Desa Sekoci, Langkat",anakanak tidak man bola lagi karena bolanya hanyut,anakanak man bola karena bola hanyut,anakanak man bola bola hanyut,7,6,Kebutuhan Makan & Aktivitas Fisik,0.4375
Laki laki,tidak mengisi,"Desa Sekoci, Langkat",orang tua jadi lebih banyak membersihkan rumah,orang tua jadi lebih banyak bersih rumah,orang tua bersih rumah,2,1,Ketakutan & Dampak Banjir,0.4975
Laki laki,tidak mengisi,"Desa Sekoci, Langkat",pohon tumbang dan banyak bangunan hancur,pohon tumbang banyak bangun hancur,pohon tumbang bangun hancur,3,2,Kerusakan Rumah & Bantuan,0.8793
Laki laki,tidak mengisi,"Desa Sekoci, Langkat",mendengar harga minyak dan bensin mahal,dengar harga minyak bensin mahal,dengar harga minyak bensin mahal,7,6,Kebutuhan Makan & Aktivitas Fisik,0.6714
Laki laki,tidak mengisi,"Desa Sekoci, Langkat",mamak bilang habis banjir kami harus berhemat,mamak bilang habis banjir harus hemat,mamak bilang habis banjir harus hemat,2,1,Ketakutan & Dampak Banjir,0.8793
Laki laki,tidak mengisi,"Desa Sekoci, Langkat",mendengar anak perempuan meninggal karena menyelamatkan lembu,dengar anak perempuan tinggal selamat lembu,dengar anak perempuan tinggal selamat lembu,6,5,Bencana & Kehilangan Tempat Tinggal,0.7069
